day,start_time,1002_ASTEM FOUNDATION Classroom [70],1003_TA Ventures Classroom [148],1005_Genesis Growth Classroom [34],1007_Genesis Enterpreneurship Classroom [40],1009_ARZINGER Classroom [34],1010_ПУМБ Classroom [32],1025_ASTEM FOUNDATION Classroom [38],1030_Roy Gartner Memorial classroom [40]
MONDAY,08:30:00,,"Сучасна історія України
ІУ (Л) 1
Стадний Єгор
[20]","Англійська для навчання та роботи 1
А (Е) 12
Питель Дар`я
[40]","Вступ до математики
ВМ (ПІБА) 3
Новак Антоніна
[80]",,"Парадигми програмування
ПП
Яременко Вадим
[123]","Імовірність і статистика
ЙС (П)1
Горовой Микита
[142]","Історія та філософія права
ІФП
Сироїд Оксана
[53]"
MONDAY,10:00:00,,"Сучасна історія України
ІУ (Л) 1
Стадний Єгор
[19]","Веб-технології
ВТ
Сеник Юлія
[129]","Етика в правничій професії
ЕПП
Грищенко Катерина
[6]",,"Англійська для навчання та роботи 1
А (Е) 11
Питель Дар`я
[39]",,
MONDAY,11:30:00,"Англійська для навчання та роботи 1
А (IT) 3
Скрипак Ольга
[59]","Сучасна історія України
ІУ (Л) 2
Стадний Єгор
[21]","Англійська для навчання та роботи 1
А (ІТ) 5
Орищук Лідія
[61]","Психіка і нервова система
ПНС
Чернінський Андрій
[1]","Вступ до математики
ВМ (БЕ) 1
Рустамова Анна
[86]",,"Вступ до релігієзнавства
ВР
Нікіфоров Карен
[164]","Вступ до математики
ВМ (К)
Чоп'юк Юрій
[84]"
MONDAY,13:30:00,,"Сучасна історія України
ІУ (Л) 2
Стадний Єгор
[22]","Основи програмування
ОП (П) 4
Огойко Микола
[108]","Вступ до математики
ВМ (Л) 1
Павлов Тарас
[68]","Вступ до релігієзнавства
ВР
Нікіфоров Карен
[163]",,"Основи програмування
ОП (П) 3
Бардін Владислав
[106]",
MONDAY,15:00:00,"Вступ до математики
ВМ (БЕ) 1
Рустамова Анна
[87]","Економетрика
ЕМ 1
Таміліна Лариса
[152]","Вступ до математики
ВМ (П)
Павлов Тарас
[162]","Англійська для навчання та роботи 1
А (Е) 7
Коркач Дарина
[49]","Основи програмування
ОП (П) 1
Насінник Андрій
[102]",,,"Як навчатися в КШЕ
КШЕ 3.1
Палій Валерія
[32]"
MONDAY,16:30:00,"Англійська для навчання та роботи 1
А (П) 2
Князь Ганна
[16]","Основи програмування
ОП
Коротенко Артем
[100]","Актуальні проблеми довкілля
АПД
Дацюк Інна
[169]",,,,"Англійська для навчання та роботи 1
А (Е) 9
Питель Дар`я
[35]","Англійська для навчання та роботи 1
А (Е) 8
Коркач Дарина
[50]"
TUESDAY,08:30:00,"Англійська для навчання та роботи 1
А (П) 2
Князь Ганна
[18]","Вступ до математики
ВМ (ПІБА) 1
Новак Антоніна
[76]","Англійська для навчання та роботи 1
А (Е) 10
Питель Дар`я
[36]","Бізнес-аналіз
БА
Несторак Володимир
[168]","Парадигми програмування
ПП
Яременко Вадим
[124]","Сучасна історія України
ІУ (П) 2
Стадний Єгор
[24]","Математика для економічних застосувань ІІ
МЕЗ (П) 2
Дашков Олександр
[137]","Вступ до математики
ВМ (БЕ) 3
Рустамова Анна
[91]"
TUESDAY,10:00:00,"Мікроекономіка II
Мі
Махова Галина
[133]",,"Дослідницький проект у соціальних науках
ДПСН
Таміліна Лариса
[157]","Англійська для навчання та роботи 1
А (IT) 3
Скрипак Ольга
[58]","Парадигми програмування
ПП
Яременко Вадим
[125]",,"Англійська для навчання та роботи 1
А (IT) 6
Орищук Лідія
[63]","Англійська для навчання та роботи 1
А (Е) 9
Питель Дар`я
[34]"
TUESDAY,11:30:00,"Мікроекономіка II
Мі
Махова Галина
[131]","Основи ІТ для бізнесу
ІТЕ (Л)2
Давидко Василь
[121]","Основи програмування
ОП (П) 1
Насінник Андрій
[103]","Парадигми програмування
ПП
Яременко Вадим
[122]","Управління проектами
ПМ
Відякін Михайло
[159]","Дослідницький проект у соціальних науках
ДПСН
Таміліна Лариса
[156]",,"Основи програмування
ОП (П) 2
Радченко Олексій
[105]"
TUESDAY,13:30:00,,"Англійська для навчання та роботи 1
А (ІТ) 2
Скрипак Ольга
[56]","Вступ до математики
ВМ (ЕБД) 1
Чоп'юк Юрій
[97]","Вступ до математики
ВМ (БЕ) 3
Рустамова Анна
[90]","Вступ до математики
ВМ (Л) 4
Павлов Тарас
[71]","Англійська для навчання та роботи 1
А (Е) 12
Питель Дар`я
[41]","Імовірність і статистика
ЙС (П)2
Глазунов Анатолій
[144]","Імовірність і статистика
ЙС (П)3
Аксьонов Михайло
[146]"
