room,student_group,div,subject,teacher,day,lesson_date,start_time,num_pair,lesson_id,room_id,time_slot_id,schedule_id,text
1009_ARZINGER Classroom [34],ПНС,6,Психіка і нервова система,Чернінський Андрій,FRIDAY,2023-12-15,16:30:00,,0,6,29,0,"Психіка і нервова система
ПНС
Чернінський Андрій
[0]"
1007_Genesis Enterpreneurship Classroom [40],ПНС,6,Психіка і нервова система,Чернінський Андрій,MONDAY,2023-12-11,11:30:00,,1,5,2,1,"Психіка і нервова система
ПНС
Чернінський Андрій
[1]"
1010_ПУМБ Classroom [32],ПНС,6,Психіка і нервова система,Чернінський Андрій,FRIDAY,2023-12-15,13:30:00,,2,7,27,2,"Психіка і нервова система
ПНС
Чернінський Андрій
[2]"
1005_Genesis Growth Classroom [34],ВППЕ,6,Вступ до психології та професійна етика,Ляшенко Олексій,THURSDAY,2023-12-14,10:00:00,,3,4,19,3,"Вступ до психології та професійна етика
ВППЕ
Ляшенко Олексій
[3]"
1009_ARZINGER Classroom [34],ВППЕ,6,Вступ до психології та професійна етика,Ляшенко Олексій,TUESDAY,2023-12-12,16:30:00,,4,6,11,4,"Вступ до психології та професійна етика
ВППЕ
Ляшенко Олексій
[4]"
1007_Genesis Enterpreneurship Classroom [40],ВППЕ,6,Вступ до психології та професійна етика,Ляшенко Олексій,FRIDAY,2023-12-15,11:30:00,,5,5,26,5,"Вступ до психології та професійна етика
ВППЕ
Ляшенко Олексій
[5]"
1007_Genesis Enterpreneurship Classroom [40],ЕПП,6,Етика в правничій професії,Грищенко Катерина,MONDAY,2023-12-11,10:00:00,,6,5,1,6,"Етика в правничій професії
ЕПП
Грищенко Катерина
[6]"
1007_Genesis Enterpreneurship Classroom [40],ЕПП,6,Етика в правничій професії,Грищенко Катерина,FRIDAY,2023-12-15,13:30:00,,7,5,27,7,"Етика в правничій професії
ЕПП
Грищенко Катерина
[7]"
1030_Roy Gartner Memorial classroom [40],ЕПП,6,Етика в правничій професії,Грищенко Катерина,THURSDAY,2023-12-14,11:30:00,,8,3,20,8,"Етика в правничій професії
ЕПП
Грищенко Катерина
[8]"
1002_ASTEM FOUNDATION Classroom [70],ЕПП,6,Етика в правничій професії,Грищенко Катерина,TUESDAY,2023-12-12,16:30:00,,9,0,11,9,"Етика в правничій професії
ЕПП
Грищенко Катерина
[9]"
1005_Genesis Growth Classroom [34],А (П) 3,6,Англійська для навчання та роботи 1,Князь Ганна,THURSDAY,2023-12-14,16:30:00,,10,4,23,10,"Англійська для навчання та роботи 1
А (П) 3
Князь Ганна
[10]"
1030_Roy Gartner Memorial classroom [40],А (П) 3,6,Англійська для навчання та роботи 1,Князь Ганна,WEDNESDAY,2023-12-13,15:00:00,,11,3,16,11,"Англійська для навчання та роботи 1
А (П) 3
Князь Ганна
[11]"
1005_Genesis Growth Classroom [34],А (П) 3,6,Англійська для навчання та роботи 1,Князь Ганна,WEDNESDAY,2023-12-13,08:30:00,,12,4,12,12,"Англійська для навчання та роботи 1
А (П) 3
Князь Ганна
[12]"
1025_ASTEM FOUNDATION Classroom [38],А (П) 4,6,Англійська для навчання та роботи 1,Князь Ганна,TUESDAY,2023-12-12,15:00:00,,13,1,10,13,"Англійська для навчання та роботи 1
А (П) 4
Князь Ганна
[13]"
1002_ASTEM FOUNDATION Classroom [70],А (П) 4,6,Англійська для навчання та роботи 1,Князь Ганна,FRIDAY,2023-12-15,15:00:00,,14,0,28,14,"Англійська для навчання та роботи 1
А (П) 4
Князь Ганна
[14]"
1007_Genesis Enterpreneurship Classroom [40],А (П) 4,6,Англійська для навчання та роботи 1,Князь Ганна,WEDNESDAY,2023-12-13,10:00:00,,15,5,13,15,"Англійська для навчання та роботи 1
А (П) 4
Князь Ганна
[15]"
1002_ASTEM FOUNDATION Classroom [70],А (П) 2,6,Англійська для навчання та роботи 1,Князь Ганна,MONDAY,2023-12-11,16:30:00,,16,0,5,16,"Англійська для навчання та роботи 1
А (П) 2
Князь Ганна
[16]"
1010_ПУМБ Classroom [32],А (П) 2,6,Англійська для навчання та роботи 1,Князь Ганна,THURSDAY,2023-12-14,08:30:00,,17,7,18,17,"Англійська для навчання та роботи 1
А (П) 2
Князь Ганна
[17]"
1002_ASTEM FOUNDATION Classroom [70],А (П) 2,6,Англійська для навчання та роботи 1,Князь Ганна,TUESDAY,2023-12-12,08:30:00,,18,0,6,18,"Англійська для навчання та роботи 1
А (П) 2
Князь Ганна
[18]"
1003_TA Ventures Classroom [148],ІУ (Л) 1,6,Сучасна історія України,Стадний Єгор,MONDAY,2023-12-11,10:00:00,,19,2,1,19,"Сучасна історія України
ІУ (Л) 1
Стадний Єгор
[19]"
1003_TA Ventures Classroom [148],ІУ (Л) 1,6,Сучасна історія України,Стадний Єгор,MONDAY,2023-12-11,08:30:00,,20,2,0,20,"Сучасна історія України
ІУ (Л) 1
Стадний Єгор
[20]"
1003_TA Ventures Classroom [148],ІУ (Л) 2,6,Сучасна історія України,Стадний Єгор,MONDAY,2023-12-11,11:30:00,,21,2,2,21,"Сучасна історія України
ІУ (Л) 2
Стадний Єгор
[21]"
