day,start_time,0_online [10009],1002_ASTEM FOUNDATION Classroom [70],1003_TA Ventures Classroom [148],1005_Genesis Growth Classroom [34],1007_Genesis Enterpreneurship Classroom [40],1009_ARZINGER Classroom [34],1010_ПУМБ Classroom [32],1025_ASTEM FOUNDATION Classroom [38],1030_Roy Gartner Memorial classroom [40]
MONDAY,08:30:00,"Сучасна історія України
ІУ (Л) 1
Стадний Єгор
[22]","Основи програмної інженерії
ОПІ
Подколзін Андрій
[158]",,"Англійська для навчання та роботи 1
А (П) 4
Князь Ганна
[16]",,,,,
MONDAY,10:00:00,,"Англійська для навчання та роботи 1
А (Е) 7
Коркач Дарина
[59]","Англійська для навчання та роботи 1
А (П) 3
Князь Ганна
[13]",,,"Англійська для навчання та роботи 1
А (Е) 2
Фролова Діана
[49]","Основи програмної інженерії
ОПІ
Подколзін Андрій
[159]",,"Вступ до математики
ВМ (ПІБА) 3
Новак Антоніна
[94]"
MONDAY,11:30:00,"Парадигми програмування
ПП
Яременко Вадим
[139]","Економетрика
ЕМ 1
Таміліна Лариса
[173]","Вступ до математики
ВМ (БЕ) 1
Рустамова Анна
[102]","Англійська для навчання та роботи 1
А (Е) 5
Коркач Дарина
[55]",,,"Як навчатися в КШЕ
КШЕ 3.1
Палій Валерія
[36]","Англійська для навчання та роботи 1
А (Е) 4
Фролова Діана
[53]","Англійська для навчання та роботи 1
А (Е) 11
Питель Дар`я
[42]"
MONDAY,13:30:00,,"Сучасна історія України
ІУ (П) 6
Красінько Ольга
[31]",,,"Англійська для навчання та роботи 1
А (Е) 10
Питель Дар`я
[40]","Вступ до релігієзнавства
ВР
Нікіфоров Карен
[188]",,,"Англійська для навчання та роботи 1
А (Е) 2
Фролова Діана
[48]"
MONDAY,15:00:00,,,"Основи програмування
ОП
Коротенко Артем
[115]",,,"Сучасна історія України
ІУ (П) 1
Довгань Світлана
[26]",,,"Сучасна історія України
ІУ (П) 2
Стадний Єгор
[27]"
MONDAY,16:30:00,"Англійська для навчання та роботи 1
А (Е) 6
Коркач Дарина
[57]",,"Англійська для навчання та роботи 1
А (П) 2
Князь Ганна
[20]",,"Англійська для навчання та роботи 1
А (IT) 1
Скрипак Ольга
[64]",,"Управління проектами
ПМ
Відякін Михайло
[183]",,
TUESDAY,08:30:00,"Вступ до математики
ВМ (ПІБА) 2
Антошина Катерина
[92]",,"Англійська для навчання та роботи 1
А (Е) 9
Питель Дар`я
[39]","Вступ до математики
МІП
Чоп'юк Юрій
[87]",,"Математика для економічних застосувань ІІ
МЕЗ (П) 2
Дашков Олександр
[155]",,"Парадигми програмування
ПП
Яременко Вадим
[140]","Англійська для навчання та роботи 1
А (IT) 7
Кір'якова Дар'я
[77]"
TUESDAY,10:00:00,"Основи ІТ для бізнесу
ІТЕ (Л) 1
Давидко Василь
[134]",,"Англійська для навчання та роботи 1
А (ІТ) 2
Скрипак Ольга
[66]",,,,"Актуальні проблеми довкілля
АПД
Дацюк Інна
[195]","Парадигми програмування
ПП
Яременко Вадим
[138]",
TUESDAY,11:30:00,,"Вступ до математики
ВМ (Л) 2
Павлов Тарас
[82]","Мікроекономіка II
Мі
Махова Галина
[147]","Англійська для навчання та роботи 1
А (IT) 1
Скрипак Ольга
[65]",,,"Парадигми програмування
ПП
Яременко Вадим
[137]","Англійська для навчання та роботи 1
А (П) 1
Князь Ганна
[12]","Вступ до математики
ВМ (БЕ) 5
Захарійченко Ліліана
[109]"
TUESDAY,13:30:00,,"Вступ до математики
ВМ (Л) 5
Павлов Тарас
[85]","Англійська для навчання та роботи 1
А (Е) 10
Питель Дар`я
[41]",,,"Англійська для навчання та роботи 1
А (П) 1
Князь Ганна
[10]","Англійська для навчання та роботи 1
А (Е) 8
Коркач Дарина
[60]",,
