room,student_group,student_group_id,div,subject,teacher,day,day_of_week,lesson_date,start_time,num_pair,lesson_id,room_id,auditory_id,time_slot_id,schedule_id,teacher_id,is_lection,text
1030_Roy Gartner Memorial classroom [40],ПНС,1247,6,Психіка і нервова система,Чернінський Андрій,FRIDAY,5,2023-12-16,11:30:00,3,549,3,1030,26,0,4059,1,"Психіка і нервова система
ПНС
Чернінський Андрій
[0]"
1002_ASTEM FOUNDATION Classroom [70],ПНС,1247,6,Психіка і нервова система,Чернінський Андрій,WEDNESDAY,3,2023-12-14,13:30:00,4,549,0,1002,15,1,4059,1,"Психіка і нервова система
ПНС
Чернінський Андрій
[1]"
1003_TA Ventures Classroom [148],ПНС,1247,6,Психіка і нервова система,Чернінський Андрій,FRIDAY,5,2023-12-16,08:30:00,1,549,2,1003,24,2,4059,0,"Психіка і нервова система
ПНС
Чернінський Андрій
[2]"
1030_Roy Gartner Memorial classroom [40],ВППЕ,1246,6,Вступ до психології та професійна етика,Ляшенко Олексій,WEDNESDAY,3,2023-12-14,10:00:00,2,548,3,1030,13,3,5056,1,"Вступ до психології та професійна етика
ВППЕ
Ляшенко Олексій
[3]"
1002_ASTEM FOUNDATION Classroom [70],ВППЕ,1246,6,Вступ до психології та професійна етика,Ляшенко Олексій,TUESDAY,2,2023-12-13,16:30:00,6,548,0,1002,11,4,5056,1,"Вступ до психології та професійна етика
ВППЕ
Ляшенко Олексій
[4]"
1003_TA Ventures Classroom [148],ВППЕ,1246,6,Вступ до психології та професійна етика,Ляшенко Олексій,THURSDAY,4,2023-12-15,15:00:00,5,548,2,1003,22,5,5056,0,"Вступ до психології та професійна етика
ВППЕ
Ляшенко Олексій
[5]"
1009_ARZINGER Classroom [34],ЕПП,1249,6,Етика в правничій професії,Грищенко Катерина,THURSDAY,4,2023-12-15,10:00:00,2,563,6,1009,19,6,5053,1,"Етика в правничій професії
ЕПП
Грищенко Катерина
[6]"
1003_TA Ventures Classroom [148],ЕПП,1249,6,Етика в правничій професії,Грищенко Катерина,THURSDAY,4,2023-12-15,16:30:00,6,563,2,1003,23,7,5053,1,"Етика в правничій професії
ЕПП
Грищенко Катерина
[7]"
1009_ARZINGER Classroom [34],ЕПП,1249,6,Етика в правничій професії,Грищенко Катерина,FRIDAY,5,2023-12-16,13:30:00,4,563,6,1009,27,8,5053,0,"Етика в правничій професії
ЕПП
Грищенко Катерина
[8]"
1005_Genesis Growth Classroom [34],ЕПП,1249,6,Етика в правничій професії,Грищенко Катерина,THURSDAY,4,2023-12-15,15:00:00,5,563,4,1005,22,9,5053,0,"Етика в правничій професії
ЕПП
Грищенко Катерина
[9]"
1009_ARZINGER Classroom [34],А (П) 1,1223,6,Англійська для навчання та роботи 1,Князь Ганна,TUESDAY,2,2023-12-13,13:30:00,4,547,6,1009,9,10,5048,0,"Англійська для навчання та роботи 1
А (П) 1
Князь Ганна
[10]"
1010_ПУМБ Classroom [32],А (П) 1,1223,6,Англійська для навчання та роботи 1,Князь Ганна,THURSDAY,4,2023-12-15,13:30:00,4,547,7,1010,21,11,5048,0,"Англійська для навчання та роботи 1
А (П) 1
Князь Ганна
[11]"
1025_ASTEM FOUNDATION Classroom [38],А (П) 1,1223,6,Англійська для навчання та роботи 1,Князь Ганна,TUESDAY,2,2023-12-13,11:30:00,3,547,1,1025,8,12,5048,0,"Англійська для навчання та роботи 1
А (П) 1
Князь Ганна
[12]"
1003_TA Ventures Classroom [148],А (П) 3,1225,6,Англійська для навчання та роботи 1,Князь Ганна,MONDAY,1,2023-12-12,10:00:00,2,547,2,1003,1,13,5048,0,"Англійська для навчання та роботи 1
А (П) 3
Князь Ганна
[13]"
1002_ASTEM FOUNDATION Classroom [70],А (П) 3,1225,6,Англійська для навчання та роботи 1,Князь Ганна,THURSDAY,4,2023-12-15,08:30:00,1,547,0,1002,18,14,5048,0,"Англійська для навчання та роботи 1
А (П) 3
Князь Ганна
[14]"
1007_Genesis Enterpreneurship Classroom [40],А (П) 3,1225,6,Англійська для навчання та роботи 1,Князь Ганна,TUESDAY,2,2023-12-13,15:00:00,5,547,5,1007,10,15,5048,0,"Англійська для навчання та роботи 1
А (П) 3
Князь Ганна
[15]"
1005_Genesis Growth Classroom [34],А (П) 4,1226,6,Англійська для навчання та роботи 1,Князь Ганна,MONDAY,1,2023-12-12,08:30:00,1,547,4,1005,0,16,5048,0,"Англійська для навчання та роботи 1
А (П) 4
Князь Ганна
[16]"
1002_ASTEM FOUNDATION Classroom [70],А (П) 4,1226,6,Англійська для навчання та роботи 1,Князь Ганна,FRIDAY,5,2023-12-16,16:30:00,6,547,0,1002,29,17,5048,0,"Англійська для навчання та роботи 1
А (П) 4
Князь Ганна
[17]"
